n,matrix,list(binary)
3,2.574920654296875e-05,2.6226043701171875e-05
43,0.0010280609130859375,0.0003349781036376953
83,0.003589153289794922,0.0012888908386230469
123,0.00774693489074707,0.0027511119842529297
163,0.013792037963867188,0.0038750171661376953
203,0.020071029663085938,0.007096052169799805
243,0.02842426300048828,0.010029792785644531
283,0.04041790962219238,0.010859012603759766
323,0.05122995376586914,0.01753997802734375
363,0.0650181770324707,0.021013975143432617
403,0.08104896545410156,0.022023916244506836
443,0.09734821319580078,0.026196956634521484
483,0.12227487564086914,0.04586386680603027
523,0.138261079788208,0.03989720344543457
563,0.1614518165588379,0.04396200180053711
603,0.1879570484161377,0.049788713455200195
643,0.21320104598999023,0.06116604804992676
683,0.2444908618927002,0.06399369239807129
723,0.30526113510131836,0.07416510581970215
763,0.2971158027648926,0.08167695999145508
803,0.3323957920074463,0.10137605667114258
843,0.3987278938293457,0.09855389595031738
883,0.4286680221557617,0.10552191734313965
923,0.5024347305297852,0.11838102340698242
963,0.5558171272277832,0.1292719841003418
