n,matrix,list(binary),numEdges
3,1.19E-05,8.11E-06,2
43,0.000463247,0.000201941,449
83,0.001600981,0.000667095,1716
123,0.003521919,0.001442909,3778
163,0.006162882,0.002526999,6468
203,0.009741068,0.004348993,10279
243,0.014334917,0.005532742,14635
283,0.018874168,0.009912968,19939
323,0.025161266,0.009468079,25802
363,0.03204608,0.011664867,32950
403,0.03912282,0.018208027,40474
443,0.048369169,0.017546892,49124
483,0.057250977,0.02007699,58509
523,0.068302155,0.024646997,68218
563,0.079416037,0.030912876,79352
603,0.092562914,0.03160882,90808
643,0.124433994,0.039608955,102582
683,0.119416952,0.045373201,116688
723,0.13618207,0.053179026,130176
763,0.175700188,0.054184198,145601
803,0.173062086,0.05602932,160826
843,0.184455872,0.065067053,176968
883,0.207961082,0.077477932,194755
923,0.231192827,0.081092834,212816
963,0.285271883,0.088350058,231501
