s, hybridTime, 
0,11.1981, 
1,8.53954, 
2,6.74442, 
3,6.42854, 
4,6.55071, 
5,6.04658, 
6,5.90808, 
7,5.95437, 
8,5.8435, 
9,5.74362, 
10,5.86354, 
11,5.64888, 
12,5.366, 
13,5.42325, 
14,5.26762, 
15,5.38133, 
16,5.33746, 
17,5.50421, 
18,5.50167, 
19,5.39967, 
20,5.6325, 
21,5.24279, 
22,5.32646, 
23,5.57833, 
24,5.60821, 
25,5.24104, 
26,5.42492, 
27,5.41162, 
28,5.18088, 
29,5.30454, 
30,5.19175, 
31,5.19183, 
32,5.17567, 
33,5.25379, 
34,5.26871, 
35,5.19058, 
36,5.2235, 
37,5.07683, 
38,5.13654, 
39,5.27383, 
40,5.21596, 
41,5.2475, 
42,5.21533, 
43,5.29625, 
44,5.68946, 
45,5.30288, 
46,5.21967, 
47,5.16437, 
48,5.54725, 
49,5.32888, 
50,5.37254, 
51,5.23112, 
52,5.41012, 
53,5.657, 
54,5.55717, 
55,5.33646, 
56,5.58417, 
57,5.29721, 
58,5.38321, 
59,5.34225, 
60,5.45096, 
61,5.35854, 
62,5.38708, 
63,5.35821, 
64,5.45217, 
65,5.33033, 
66,5.3145, 
67,5.49113, 
68,5.37563, 
69,5.31608, 
70,5.32425, 
71,5.31533, 
72,5.34696, 
73,5.28983, 
74,5.35771, 
75,5.22867, 
76,5.13825, 
77,5.27283, 
78,5.42521, 
79,5.35646, 
80,5.36304, 
81,5.33958, 
82,5.42133, 
83,5.57042, 
84,5.32458, 
85,5.42104, 
86,5.39267, 
87,5.321, 
88,5.28512, 
89,5.42829, 
90,5.46188, 
91,5.32717, 
92,5.40625, 
93,6.98779, 
94,5.51288, 
95,5.30013, 
96,5.77688, 
97,6.03442, 
98,6.08312, 
99,6.14596, 
100,6.09912, 
101,6.11787, 
102,5.90775, 
103,6.11888, 
104,6.17025, 
105,6.16946, 
106,6.09546, 
107,5.94892, 
108,5.99917, 
109,5.96767, 
110,5.95538, 
111,6.10754, 
112,6.25263, 
113,6.10179, 
114,6.11188, 
115,6.09363, 
116,6.09892, 
117,6.01971, 
118,5.9265, 
119,5.90862, 
120,6.02779, 
121,5.94421, 
122,5.93804, 
123,6.08146, 
124,6.13683, 
125,6.052, 
126,6.10813, 
127,6.03238, 
128,6.10013, 
129,6.09604, 
130,6.03925, 
131,5.97112, 
132,6.11129, 
133,6.01804, 
134,5.95033, 
135,6.07333, 
136,5.98313, 
137,5.95896, 
138,5.98654, 
139,6.11217, 
140,6.05079, 
141,6.2365, 
142,5.96312, 
143,6.01354, 
144,6.0005, 
145,5.93329, 
146,6.04033, 
147,6.00275, 
148,5.98004, 
149,5.98088, 
150,6.01746, 
151,6.22238, 
152,6.11971, 
153,5.96821, 
154,5.96213, 
155,5.99458, 
156,6.10963, 
157,6.01487, 
158,6.03217, 
159,6.01742, 
160,5.97475, 
161,6.07804, 
162,6.02921, 
163,6.05571, 
164,5.97525, 
165,6.02558, 
166,5.9445, 
167,6.00154, 
168,5.99329, 
169,5.89796, 
170,6.11813, 
171,6.18779, 
172,5.87587, 
173,5.96012, 
174,6.40088, 
175,6.281, 
176,6.23287, 
177,5.94154, 
178,6.03225, 
179,6.06337, 
180,5.86771, 
181,6.01187, 
182,6.01004, 
183,5.981, 
184,5.9145, 
185,6.38167, 
186,6.16654, 
187,6.32396, 
188,6.19846, 
189,6.0345, 
190,5.90675, 
191,5.9375, 
192,5.94062, 
193,5.92979, 
194,7.30625, 
195,7.969, 
196,7.97483, 
197,8.01308, 
198,8.343, 
199,8.3805, 
200,8.09013, 
