n, Insertion Sort, Merge Sort, Hybrid Sort
1000,242693,8717,2508
2000,964817,19326,6016
3000,2226336,30960,9012
4000,4043194,42681,14032
5000,6225835,55141,17516
6000,9045121,67645,21024
7000,12323023,80368,28084
8000,15863998,93325,32064
9000,20053021,106602,36060
10000,25238084,120069,40032
11000,30247646,133415,44020
12000,36027587,147029,48048
13000,42179749,160719,57268
14000,48984444,174258,63168
15000,56499614,188189,67660
16000,64016584,202044,72128
17000,72128843,216196,76636
18000,81095312,230414,81120
19000,90356331,244763,85596
20000,100148706,259194,90064
21000,109809493,273297,94524
22000,120953441,287679,99040
23000,131729223,302321,103580
24000,143933292,316467,108096
25000,156481147,331341,112628
26000,168279439,345802,127536
27000,182867563,360523,135332
28000,195767030,375179,140336
29000,211174821,389816,145332
30000,223427016,404387,150320
31000,239813534,419187,155300
32000,256304728,434131,160256
33000,271234671,448878,165276
34000,288289394,463876,170272
35000,307468734,479022,175260
36000,323260421,494223,180240
37000,340998605,509212,185212
38000,361364303,524262,190192
39000,382060884,539622,195172
40000,401590574,554729,200128
41000,420240338,570103,205100
42000,439465296,585167,210048
43000,461109537,600337,215028
44000,481940010,615552,220080
45000,507196075,631040,225124
46000,529146017,646231,230160
47000,549513748,661441,235188
48000,573949995,676898,240192
49000,602336684,692100,245236
50000,625860605,707473,250256
51000,647593550,722974,255268
52000,675269560,738250,281072
53000,700062842,753958,291892
54000,727699929,769378,297664
55000,755897725,784884,302964
56000,781661850,800013,308672
57000,810688540,815630,314012
58000,842254138,831329,319664
59000,873765634,846667,325028
60000,899605297,862095,330640
61000,932080091,877320,336052
62000,962516798,893016,341600
63000,989411595,908532,347044
64000,1020947421,924242,352512
65000,1053090871,939639,358068
66000,1088716795,955378,363552
67000,1122468098,971530,369124
68000,1152798696,987466,374544
69000,1192733445,1003444,380148
70000,1223575688,1018999,385520
71000,1256112201,1035003,391180
72000,1299274893,1050615,396480
73000,1338082050,1066630,402180
74000,1364706472,1082533,407424
75000,1403209155,1098557,413156
76000,1442281523,1114701,418384
77000,1480386090,1130606,424180
78000,1520492518,1146420,429344
79000,1561980311,1161939,435172
80000,1596709740,1178305,440256
81000,1641359114,1194051,446148
82000,1684221322,1209944,451200
83000,1721749304,1226550,457108
84000,1759302233,1242159,462096
85000,1810117249,1257748,468036
86000,1850726068,1274029,473056
87000,1890689878,1290043,479092
88000,1944330201,1306048,484160
89000,1976051684,1321514,490140
90000,2029991742,1338092,495248
91000,2072036120,1353921,501156
92000,2110977579,1370252,506320
93000,2160864251,1386272,512180
94000,2212731581,1402396,517376
95000,2261044697,1418232,523172
96000,2298939943,1434170,528384
97000,2352006586,1450371,534172
98000,2402721657,1466088,539472
99000,2442013026,1482496,545180
100000,2498329860,1498911,550512
