n, Insertion Sort, Merge Sort, Hybrid Sort,n,lgInsertion,lgMerge,lgHybrid
1000,242693,8717,2508,1000,5.38505725,3.940367046,3.399327532
2000,964817,19326,6016,2000,5.984444947,4.286141975,3.779307828
3000,2226336,30960,9012,3000,6.347590709,4.490800952,3.954821183
4000,4043194,42681,14032,4000,6.60672458,4.630234586,4.147119576
5000,6225835,55141,17516,5000,6.794197607,4.741474638,4.243434937
6000,9045121,67645,21024,6000,6.956414381,4.830235701,4.322715348
7000,12323023,80368,28084,7000,7.090717259,4.905083161,4.448458964
8000,15863998,93325,32064,8000,7.200412646,4.969997999,4.5060177
9000,20053021,106602,36060,9000,7.302179809,5.027765353,4.557025722
10000,25238084,120069,40032,10000,7.402056381,5.079430894,4.602407288
11000,30247646,133415,44020,11000,7.480691582,5.125204661,4.643650038
12000,36027587,147029,48048,12000,7.556635176,5.167403003,4.681675315
13000,42179749,160719,57268,13000,7.625103991,5.206067222,4.757912016
14000,48984444,174258,63168,14000,7.690058183,5.241192725,4.800497127
15000,56499614,188189,67660,15000,7.752045481,5.274594235,4.830331993
16000,64016584,202044,72128,16000,7.806292496,5.305445958,4.85810389
17000,72128843,216196,76636,17000,7.858108966,5.334847654,4.884432829
18000,81095312,230414,81120,18000,7.908995749,5.362508863,4.909127942
19000,90356331,244763,85596,19000,7.955958588,5.388745768,4.93245347
20000,100148706,259194,90064,20000,8.000645342,5.413624944,4.954551231
21000,109809493,273297,94524,21000,8.040639886,5.436634864,4.975542092
22000,120953441,287679,99040,22000,8.082618228,5.45890816,4.995810632
23000,131729223,302321,103580,23000,8.11968213,5.480468315,5.015275907
24000,143933292,316467,108096,24000,8.158161259,5.50032843,5.033809624
25000,156481147,331341,112628,25000,8.194462021,5.520275179,5.051646372
26000,168279439,345802,127536,26000,8.226031056,5.538827501,5.105632792
27000,182867563,360523,135332,27000,8.262136677,5.556932976,5.1314005
28000,195767030,375179,140336,28000,8.291739552,5.574238521,5.147169094
29000,211174821,389816,145332,29000,8.324642135,5.590859661,5.16236125
30000,223427016,404387,150320,30000,8.349135685,5.606797186,5.177016767
31000,239813534,419187,155300,31000,8.379873689,5.622407806,5.191171456
32000,256304728,434131,160256,32000,8.408756618,5.637620799,5.204814299
33000,271234671,448878,165276,33000,8.433345203,5.652128321,5.218209794
34000,288289394,463876,170272,34000,8.459828665,5.666401904,5.231143237
35000,307468734,479022,175260,35000,8.48780096,5.68035546,5.243682807
36000,323260421,494223,180240,36000,8.509552534,5.693922953,5.255851179
37000,340998605,509212,185212,37000,8.532752602,5.70689863,5.267669121
38000,361364303,524262,190192,38000,8.557945249,5.71954838,5.279192245
39000,382060884,539622,195172,39000,8.582132576,5.732089647,5.290417513
40000,401590574,554729,200128,40000,8.603783511,5.74408087,5.301307855
41000,420240338,570103,205100,41000,8.623497737,5.755953326,5.31196566
42000,439465296,585167,210048,42000,8.642924585,5.767279826,5.322318551
43000,461109537,600337,215028,43000,8.663804105,5.778395111,5.332495016
44000,481940010,615552,220080,44000,8.682992982,5.789264747,5.342580577
45000,507196075,631040,225124,45000,8.705175884,5.800056889,5.352421797
46000,529146017,646231,230160,46000,8.723575531,5.810387787,5.362029849
47000,549513748,661441,235188,47000,8.739978562,5.820491112,5.371415159
