n, Insertion Sort, Merge Sort, Hybrid Sort
1,0,0,0
2,0,1,1
3,3,2,5
4,3,5,5
5,3,8,6
6,7,9,10
7,10,14,14
8,18,16,22
9,21,17,26
10,16,21,21
11,27,25,33
12,39,31,45
13,47,35,54
14,38,38,45
15,63,42,71
16,65,47,73
17,76,51,85
18,62,53,71
19,80,57,90
20,102,63,112
21,99,72,110
22,139,75,150
23,112,81,124
24,139,83,151
25,123,91,136
26,219,90,232
27,164,93,178
28,164,100,178
29,238,106,253
30,181,108,196
31,210,118,226
32,258,124,274
33,232,128,249
34,278,135,295
35,279,137,297
36,307,140,325
37,379,144,398
38,362,151,381
39,384,157,404
40,380,166,400
41,367,164,388
42,445,181,466
43,480,184,502
44,465,184,487
45,576,193,599
46,476,199,499
47,515,204,539
48,560,213,584
49,636,216,661
50,575,218,600
51,584,225,610
52,635,237,661
53,748,238,775
54,660,244,687
55,709,247,737
56,773,258,801
57,785,258,814
58,761,271,790
59,851,279,881
60,840,280,870
61,931,293,962
62,972,293,1003
63,961,305,993
64,998,305,1030
65,1021,317,1054
66,1167,320,1200
67,990,332,1024
68,1019,330,1053
69,1127,339,1162
70,1220,345,1255
71,1171,349,1207
72,1454,358,1490
73,1115,358,1152
74,1421,365,1458
75,1484,378,1522
76,1679,383,1717
77,1629,382,1668
78,1722,400,1761
79,1523,408,1563
80,1679,414,1719
81,1656,413,1697
82,1657,425,1698
83,1712,431,1754
84,1892,439,1934
85,1958,437,2001
86,1798,455,1841
87,1850,448,1894
88,1726,458,1770
89,1695,475,1740
90,1812,477,1857
91,2048,479,2094
92,2311,491,2357
93,2081,501,2128
94,2136,502,2183
95,2193,512,2241
96,2348,511,2396
97,2390,519,2439
98,2499,535,2548
99,2476,535,2526
100,2381,552,2431
101,2639,537,794
102,2405,557,705
103,2727,556,883
104,2853,568,790
105,2974,572,957
106,2671,591,823
107,3184,587,890
108,2514,595,865
109,2914,616,1028
110,2870,620,937
111,3195,623,997
112,3516,620,994
113,3237,630,999
114,3259,645,892
115,3430,639,991
116,3426,651,941
117,3714,656,1021
118,3273,662,946
119,3177,676,1048
120,3483,677,1186
121,3577,682,1083
122,3308,696,1026
123,3926,708,1151
124,3458,702,1066
125,3935,714,1232
126,3667,716,1012
127,4523,726,1257
128,3507,737,1071
129,4635,741,1226
130,4257,764,1319
131,4324,764,1311
132,4008,774,1139
133,4638,777,1496
134,4637,781,1467
135,4726,783,1301
136,4492,803,1232
137,4906,805,1419
138,4898,814,1353
139,4404,827,1254
140,4770,820,1425
141,5092,839,1588
142,4969,841,1472
143,5225,863,1328
144,5216,856,1436
145,5424,860,1643
146,5834,873,1537
147,5576,869,1578
148,5704,864,1609
149,5432,895,1669
150,6031,891,1677
151,5977,916,1720
152,5776,929,1633
153,6013,929,1719
154,5895,928,1734
155,6373,937,2022
156,6221,944,1667
157,5802,953,1449
158,5963,960,1628
159,6781,976,1892
160,6724,988,1685
161,6463,984,1882
162,6626,977,1757
163,6865,1000,1838
164,6831,1001,1782
165,6904,999,1896
166,7072,1016,1804
167,6819,1021,1915
168,7406,1042,2070
169,7445,1043,1970
170,7054,1053,2151
171,6934,1058,1721
172,7693,1063,2013
173,7256,1071,2135
174,7769,1085,2296
175,7820,1102,2335
176,7572,1110,2407
177,7955,1096,2249
178,8002,1128,2182
179,8104,1115,2109
180,8167,1138,2330
181,8557,1133,2350
182,7941,1134,2375
183,9668,1137,2373
184,8428,1160,2435
185,8267,1168,2261
186,8959,1184,2287
187,8935,1175,2669
188,8881,1197,2611
189,9253,1180,2678
190,9132,1188,2639
191,8916,1205,2579
192,9402,1225,2586
193,8758,1215,2556
194,10168,1231,2896
195,10242,1235,2860
196,9046,1260,2704
197,9499,1246,2820
198,9491,1257,2606
199,9866,1278,2837
200,10397,1287,2728
201,10105,1274,2775
202,9996,1296,1245
203,9903,1309,1330
204,10068,1321,1094
205,10687,1304,1090
206,10373,1326,1198
207,11847,1354,1240
208,9715,1330,1232
209,11696,1343,1345
210,11008,1360,1344
211,10586,1374,1298
212,11612,1380,1234
213,10212,1380,1234
214,12299,1389,1420
215,11091,1401,1253
216,11921,1408,1468
217,12034,1410,1354
218,11872,1409,1319
219,11979,1434,1462
220,11287,1435,1125
221,12368,1455,1482
222,11937,1461,1695
223,12643,1465,1500
224,13137,1471,1327
225,12796,1471,1277
226,12557,1495,1469
227,12373,1495,1465
228,12589,1510,1380
229,13509,1516,1471
230,13387,1519,1642
231,12524,1524,1533
232,13633,1529,1375
233,12858,1546,1399
234,14031,1557,1430
235,14415,1555,1552
236,13916,1567,1703
237,15274,1563,1659
238,13634,1565,1394
239,13825,1588,1614
240,13343,1596,1428
241,15824,1605,1693
242,14530,1604,1725
243,14920,1607,2023
244,13648,1608,1483
245,14325,1642,1643
246,14462,1651,1458
247,15480,1634,1476
248,15342,1676,1663
249,15604,1670,1665
250,16148,1678,1780
251,15272,1692,1772
252,15280,1697,1975
253,16716,1705,1671
254,16149,1700,1896
255,16540,1706,1579
256,16062,1743,1967
257,17001,1718,1942
258,17323,1737,2219
259,16505,1747,1603
260,17629,1758,1748
261,16853,1769,1626
262,17870,1764,2007
263,17506,1780,1680
264,16716,1797,2010
265,18027,1804,1959
266,16156,1796,1809
267,17199,1832,1911
268,18983,1835,1725
269,18281,1819,2253
270,17168,1836,1957
271,17864,1871,1956
272,18212,1860,1792
273,18560,1877,2302
274,18440,1888,1966
275,18054,1877,1991
276,18778,1901,2005
277,18507,1902,2174
278,19147,1921,2111
279,19379,1931,2072
280,17986,1931,1832
281,19319,1924,1872
