s, numComparisons,s,minComp
0,8693,109,5051
1,8685, ,
2,8700, ,
3,8671, ,
4,7977, ,
5,7965, ,
6,7990, ,
7,7863, ,
8,7160, ,
9,7197, ,
10,7107, ,
11,7148, ,
12,7174, ,
13,7167, ,
14,7195, ,
15,6791, ,
16,6324, ,
17,6321, ,
18,6199, ,
19,6409, ,
20,6246, ,
21,6326, ,
22,6280, ,
23,6206, ,
24,6268, ,
25,6381, ,
26,6321, ,
27,6353, ,
28,6398, ,
29,6282, ,
30,6308, ,
31,5778, ,
32,5756, ,
33,5680, ,
34,5685, ,
35,5591, ,
36,5546, ,
37,5581, ,
38,5624, ,
39,5798, ,
40,5633, ,
41,5492, ,
42,5567, ,
43,5583, ,
44,5674, ,
45,5692, ,
46,5597, ,
47,5702, ,
48,5627, ,
49,5634, ,
50,5515, ,
51,5622, ,
52,5668, ,
53,5623, ,
54,5467, ,
55,5520, ,
56,5713, ,
57,5610, ,
58,5645, ,
59,5746, ,
60,5663, ,
61,5601, ,
62,5899, ,
63,5415, ,
64,5739, ,
65,5790, ,
66,5588, ,
67,5617, ,
68,5663, ,
69,5735, ,
70,5735, ,
71,5728, ,
72,5508, ,
73,5150, ,
74,5866, ,
75,5734, ,
76,5773, ,
77,5795, ,
78,5548, ,
79,5844, ,
80,5668, ,
81,5993, ,
82,5698, ,
83,5767, ,
84,5833, ,
85,5151, ,
86,5437, ,
87,5498, ,
88,5657, ,
89,5582, ,
90,5558, ,
91,6024, ,
92,5839, ,
93,5347, ,
94,5748, ,
95,5632, ,
96,6022, ,
97,5458, ,
98,5509, ,
99,5489, ,
100,5832, ,
101,5439, ,
102,5388, ,
103,5930, ,
104,5714, ,
105,5492, ,
106,5972, ,
107,5845, ,
108,5823, ,
109,5051, ,
110,5660, ,
111,5411, ,
112,5465, ,
113,5888, ,
114,5947, ,
115,5647, ,
116,5620, ,
117,5694, ,
118,5525, ,
119,5786, ,
120,5377, ,
121,5542, ,
122,5595, ,
123,5581, ,
124,5592, ,
125,7971, ,
126,7928, ,
127,7820, ,
128,8090, ,
129,7850, ,
130,8211, ,
131,8213, ,
132,8244, ,
133,8028, ,
134,8257, ,
135,8505, ,
136,7957, ,
137,8263, ,
138,8521, ,
139,7615, ,
140,7950, ,
141,7795, ,
142,7760, ,
143,8761, ,
144,8069, ,
145,7765, ,
146,8079, ,
147,8006, ,
148,7562, ,
149,7480, ,
150,7667, ,
151,8872, ,
152,8156, ,
153,8809, ,
154,8793, ,
155,7984, ,
156,7811, ,
157,7871, ,
158,8531, ,
159,8431, ,
160,7934, ,
161,7944, ,
162,8416, ,
163,7907, ,
164,7733, ,
165,8450, ,
166,7506, ,
167,8103, ,
168,7961, ,
169,7134, ,
170,7685, ,
171,8962, ,
172,7890, ,
173,7987, ,
174,7954, ,
175,8595, ,
176,7843, ,
177,8247, ,
178,8042, ,
179,8540, ,
180,7954, ,
181,8379, ,
182,8997, ,
183,8463, ,
184,7563, ,
185,7530, ,
186,7863, ,
187,7843, ,
188,8499, ,
189,8113, ,
190,8077, ,
191,7751, ,
192,8738, ,
193,8943, ,
194,7406, ,
195,8342, ,
196,8193, ,
197,8569, ,
198,8111, ,
199,7948, ,
200,8611, ,
201,8060, ,
202,7838, ,
203,8091, ,
204,8058, ,
205,8739, ,
206,8185, ,
207,7563, ,
208,8192, ,
209,8485, ,
210,7720, ,
211,8117, ,
212,8054, ,
213,8707, ,
214,8354, ,
215,8817, ,
216,7284, ,
217,8479, ,
218,8321, ,
219,7943, ,
220,8276, ,
221,8275, ,
222,8272, ,
223,8372, ,
224,8190, ,
225,8006, ,
226,8562, ,
227,7975, ,
228,8714, ,
229,8539, ,
230,7724, ,
231,7900, ,
232,7839, ,
233,7488, ,
234,8262, ,
235,7664, ,
236,8253, ,
237,7907, ,
238,8039, ,
239,8714, ,
240,7224, ,
241,8135, ,
242,9036, ,
243,8504, ,
244,7739, ,
245,8142, ,
246,7374, ,
247,8189, ,
248,8638, ,
249,7833, ,
250,19883, ,
251,16477, ,
252,19013, ,
253,20240, ,
254,19357, ,
255,18076, ,
256,19237, ,
257,21894, ,
258,20502, ,
259,21617, ,
260,21098, ,
261,20387, ,
262,19546, ,
263,19012, ,
264,19967, ,
265,20951, ,
266,19651, ,
267,20692, ,
268,20324, ,
269,20232, ,
270,18482, ,
271,19279, ,
272,19225, ,
273,20235, ,
274,18945, ,
275,18864, ,
276,18400, ,
277,16633, ,
278,21177, ,
279,21070, ,
280,18520, ,
281,19515, ,
282,19732, ,
283,17904, ,
284,19146, ,
285,20626, ,
286,19230, ,
287,19032, ,
288,18620, ,
289,21373, ,
290,20110, ,
291,21618, ,
292,20271, ,
293,20962, ,
294,19459, ,
295,18830, ,
296,19415, ,
297,21465, ,
298,19000, ,
299,17314, ,
300,21004, ,
301,19783, ,
302,18856, ,
303,20962, ,
304,18957, ,
305,18656, ,
306,17842, ,
307,18666, ,
308,20669, ,
309,19254, ,
310,19800, ,
311,18145, ,
312,20425, ,
313,20840, ,
314,20422, ,
315,18621, ,
316,19451, ,
317,20339, ,
318,20307, ,
319,18776, ,
320,20255, ,
321,20532, ,
322,18431, ,
323,18380, ,
324,20474, ,
325,18729, ,
326,21083, ,
327,19461, ,
328,18724, ,
329,20372, ,
330,18206, ,
331,17028, ,
332,19578, ,
333,18785, ,
334,18899, ,
335,19703, ,
336,20520, ,
337,18867, ,
338,19738, ,
339,16996, ,
340,18709, ,
341,20685, ,
342,20642, ,
343,21457, ,
344,18612, ,
345,18806, ,
346,17950, ,
347,18608, ,
348,20279, ,
349,19363, ,
350,19437, ,
351,18731, ,
352,19297, ,
353,19301, ,
354,20465, ,
355,20151, ,
356,19385, ,
357,19960, ,
358,19392, ,
359,21329, ,
360,19375, ,
361,20576, ,
362,21034, ,
363,18866, ,
364,20978, ,
365,18393, ,
366,21735, ,
367,20769, ,
368,20278, ,
369,18217, ,
370,21123, ,
371,21157, ,
372,19123, ,
373,18269, ,
374,16946, ,
375,19557, ,
376,19449, ,
377,20994, ,
378,20116, ,
379,21640, ,
380,18463, ,
381,17965, ,
382,16555, ,
383,20589, ,
384,20279, ,
385,20978, ,
386,20591, ,
387,19896, ,
388,17794, ,
389,21970, ,
390,19913, ,
391,19256, ,
392,19071, ,
393,19053, ,
394,19314, ,
395,18309, ,
396,18511, ,
397,20838, ,
398,18255, ,
399,19633, ,
400,20132, ,
401,19435, ,
402,18702, ,
403,17553, ,
404,18788, ,
405,18841, ,
406,19666, ,
407,20727, ,
408,17964, ,
409,19696, ,
410,18952, ,
411,18089, ,
412,19189, ,
413,19512, ,
414,20392, ,
415,19201, ,
416,18048, ,
417,20302, ,
418,18954, ,
419,22305, ,
420,19067, ,
421,22757, ,
422,20074, ,
423,20450, ,
424,18614, ,
425,19513, ,
426,18956, ,
427,18849, ,
428,20206, ,
429,19441, ,
430,17913, ,
431,18252, ,
432,19865, ,
433,18769, ,
434,19965, ,
435,18408, ,
436,18182, ,
437,19070, ,
438,19886, ,
439,18115, ,
440,18954, ,
441,20420, ,
442,19260, ,
443,19168, ,
444,20347, ,
445,18502, ,
446,20647, ,
447,18993, ,
448,20600, ,
449,18542, ,
450,18645, ,
451,18766, ,
452,18480, ,
453,18802, ,
454,20695, ,
455,19834, ,
456,21096, ,
457,18304, ,
458,20044, ,
459,19291, ,
460,19359, ,
461,21563, ,
462,21145, ,
463,20034, ,
464,19177, ,
465,19754, ,
466,20732, ,
467,21501, ,
468,18809, ,
469,22400, ,
470,19861, ,
471,20753, ,
472,18179, ,
473,19349, ,
474,18625, ,
475,20443, ,
476,19759, ,
477,20061, ,
478,18786, ,
479,18507, ,
480,18891, ,
481,20350, ,
482,21607, ,
483,20574, ,
484,18869, ,
485,19678, ,
486,20039, ,
487,18532, ,
488,17435, ,
489,19106, ,
490,19932, ,
491,20978, ,
492,17750, ,
493,18286, ,
494,19071, ,
495,19439, ,
496,19602, ,
497,19968, ,
498,20030, ,
499,19893, ,
500,67333, ,
501,63540, ,
502,60251, ,
503,64394, ,
504,62298, ,
505,63259, ,
506,63459, ,
507,67062, ,
508,62479, ,
509,62920, ,
510,62793, ,
511,61768, ,
512,66415, ,
513,64295, ,
514,61916, ,
515,59027, ,
516,64898, ,
517,67324, ,
518,64348, ,
519,65301, ,
520,65577, ,
521,63172, ,
522,64742, ,
523,61996, ,
524,65033, ,
525,63292, ,
526,64257, ,
527,65981, ,
528,60831, ,
529,62724, ,
530,63225, ,
531,67425, ,
532,59339, ,
533,64591, ,
534,64896, ,
535,60892, ,
536,66312, ,
537,62822, ,
538,62313, ,
539,63067, ,
540,63517, ,
541,64107, ,
542,65825, ,
543,62679, ,
544,66031, ,
545,63376, ,
546,64851, ,
547,64105, ,
548,68270, ,
549,64076, ,
550,65630, ,
551,66416, ,
552,60347, ,
553,67268, ,
554,62739, ,
555,64177, ,
556,65447, ,
557,60922, ,
558,62164, ,
559,62764, ,
560,60303, ,
561,61217, ,
562,63402, ,
563,63271, ,
564,60544, ,
565,64425, ,
566,64828, ,
567,57153, ,
568,65636, ,
569,64844, ,
570,61826, ,
571,66713, ,
572,62774, ,
573,65424, ,
574,63837, ,
575,63975, ,
576,63423, ,
577,62591, ,
578,63864, ,
579,61340, ,
580,62896, ,
581,61559, ,
582,67740, ,
583,64366, ,
584,66434, ,
585,67593, ,
586,67572, ,
587,60472, ,
588,62993, ,
589,65889, ,
590,64341, ,
591,61020, ,
592,61020, ,
593,64696, ,
594,67009, ,
595,64500, ,
596,64906, ,
597,66398, ,
598,61947, ,
599,66081, ,
600,64188, ,
601,63468, ,
602,64672, ,
603,62534, ,
604,61527, ,
605,64913, ,
606,63843, ,
607,63249, ,
608,64668, ,
609,63845, ,
610,63946, ,
611,62438, ,
612,66173, ,
613,61353, ,
614,62615, ,
615,64649, ,
616,64553, ,
617,62853, ,
618,65586, ,
619,63208, ,
620,64707, ,
621,65260, ,
622,66909, ,
623,63568, ,
624,65656, ,
625,62104, ,
626,62952, ,
627,66543, ,
628,66286, ,
629,61257, ,
630,65391, ,
631,67367, ,
632,68117, ,
633,64536, ,
634,61968, ,
635,63027, ,
636,63915, ,
637,63476, ,
638,63778, ,
639,61933, ,
640,64312, ,
641,65643, ,
642,64459, ,
643,65692, ,
644,64681, ,
645,67751, ,
646,64046, ,
647,64329, ,
648,64919, ,
649,64175, ,
650,62282, ,
651,66717, ,
652,63250, ,
653,63729, ,
654,63707, ,
655,67358, ,
656,65979, ,
657,65365, ,
658,62774, ,
659,66167, ,
660,65695, ,
661,67149, ,
662,61263, ,
663,66503, ,
664,64508, ,
665,61466, ,
666,59119, ,
667,67045, ,
668,62221, ,
669,64499, ,
670,61261, ,
671,65761, ,
672,64152, ,
673,61598, ,
674,66209, ,
675,65180, ,
676,62627, ,
677,59270, ,
678,67655, ,
679,63768, ,
680,65799, ,
681,64138, ,
682,64027, ,
683,64094, ,
684,63522, ,
685,60297, ,
686,58019, ,
687,63563, ,
688,60923, ,
689,62886, ,
690,63843, ,
691,64447, ,
692,63002, ,
693,62229, ,
694,62401, ,
695,64671, ,
696,70469, ,
697,64776, ,
698,62200, ,
699,65957, ,
700,64076, ,
701,63310, ,
702,64543, ,
703,60414, ,
704,66077, ,
705,66398, ,
706,61701, ,
707,65423, ,
708,62851, ,
709,60915, ,
710,64428, ,
711,61325, ,
712,60604, ,
713,64980, ,
714,61297, ,
715,66827, ,
716,66324, ,
717,66028, ,
718,63648, ,
