s, numComparisons,s,min
0,8675,63,5241
1,8704, ,
2,8694, ,
3,8647, ,
4,8012, ,
5,8004, ,
6,8009, ,
7,7832, ,
8,7109, ,
9,7125, ,
10,7137, ,
11,7187, ,
12,7147, ,
13,7135, ,
14,7238, ,
15,6881, ,
16,6299, ,
17,6208, ,
18,6300, ,
19,6323, ,
20,6299, ,
21,6215, ,
22,6236, ,
23,6391, ,
24,6324, ,
25,6302, ,
26,6308, ,
27,6230, ,
28,6267, ,
29,6318, ,
30,6301, ,
31,5769, ,
32,5665, ,
33,5703, ,
34,5599, ,
35,5737, ,
36,5558, ,
37,5826, ,
38,5694, ,
39,5768, ,
40,5704, ,
41,5600, ,
42,5617, ,
43,5587, ,
44,5774, ,
45,5576, ,
46,5541, ,
47,5630, ,
48,5589, ,
49,5588, ,
50,5608, ,
51,5590, ,
52,5640, ,
53,5657, ,
54,5563, ,
55,5693, ,
56,5763, ,
57,5742, ,
58,5539, ,
59,5651, ,
60,5577, ,
61,5630, ,
62,5859, ,
63,5241, ,
64,5764, ,
65,5442, ,
66,5655, ,
67,5655, ,
68,5642, ,
69,6029, ,
70,5792, ,
71,6068, ,
72,5774, ,
73,5814, ,
74,5626, ,
75,5753, ,
76,5498, ,
77,5407, ,
78,5713, ,
79,5312, ,
80,5567, ,
81,5526, ,
82,5343, ,
83,5446, ,
84,5559, ,
85,5457, ,
86,5740, ,
87,5562, ,
88,5911, ,
89,5589, ,
90,5274, ,
91,5899, ,
92,5615, ,
93,5649, ,
94,5424, ,
95,5584, ,
96,5539, ,
97,5466, ,
98,5753, ,
99,5647, ,
100,5780, ,
101,5918, ,
102,5556, ,
103,5299, ,
104,5928, ,
105,5742, ,
106,5635, ,
107,5764, ,
108,5512, ,
109,5893, ,
110,5846, ,
111,5567, ,
112,5769, ,
113,5602, ,
114,5926, ,
115,5430, ,
116,5799, ,
117,5963, ,
118,6022, ,
119,5670, ,
120,5352, ,
121,5452, ,
122,5585, ,
123,5897, ,
124,5885, ,
125,7430, ,
126,8732, ,
127,7958, ,
128,8036, ,
129,8242, ,
130,7944, ,
131,7402, ,
132,9002, ,
133,8199, ,
134,8780, ,
135,7779, ,
136,8421, ,
137,8495, ,
138,7305, ,
139,8039, ,
140,7761, ,
141,7550, ,
142,8130, ,
143,7585, ,
144,7863, ,
145,8508, ,
146,8877, ,
147,8742, ,
148,8011, ,
149,7494, ,
150,7851, ,
151,8839, ,
152,8165, ,
153,8320, ,
154,7404, ,
155,7604, ,
156,8714, ,
157,8353, ,
158,8655, ,
159,7877, ,
160,7945, ,
161,7739, ,
162,8558, ,
163,7656, ,
164,8264, ,
165,8097, ,
166,8061, ,
167,8561, ,
168,7737, ,
169,8140, ,
170,7151, ,
171,8095, ,
172,7709, ,
173,8380, ,
174,7805, ,
175,8043, ,
176,8145, ,
177,8262, ,
178,8818, ,
179,8328, ,
180,8423, ,
181,8741, ,
182,8145, ,
183,8415, ,
184,8169, ,
185,8501, ,
186,8160, ,
187,8053, ,
188,7701, ,
189,8526, ,
190,8849, ,
191,8262, ,
192,7536, ,
193,8261, ,
194,7929, ,
195,7779, ,
196,7231, ,
197,8570, ,
198,8737, ,
199,7995, ,
200,7813, ,
201,7597, ,
202,8859, ,
203,8025, ,
204,8408, ,
205,8448, ,
206,8400, ,
207,8443, ,
208,8082, ,
209,7897, ,
210,8073, ,
211,7732, ,
212,8369, ,
213,8022, ,
214,7276, ,
215,8165, ,
216,7927, ,
217,8277, ,
218,8482, ,
219,8864, ,
220,8216, ,
221,7482, ,
222,8233, ,
223,8001, ,
224,8084, ,
225,8787, ,
226,7800, ,
227,8103, ,
228,8165, ,
229,7921, ,
230,7846, ,
231,8123, ,
232,8111, ,
233,7408, ,
234,8473, ,
235,7543, ,
236,8017, ,
237,8385, ,
238,7565, ,
239,8524, ,
240,8096, ,
241,8058, ,
242,7931, ,
243,8809, ,
244,7846, ,
245,8453, ,
246,7635, ,
247,8767, ,
248,8309, ,
249,7568, ,
250,20907, ,
251,20199, ,
252,18578, ,
253,18803, ,
254,19440, ,
255,19391, ,
256,17532, ,
257,18361, ,
258,18464, ,
259,19947, ,
260,17860, ,
261,21289, ,
262,20256, ,
263,19706, ,
264,17771, ,
265,21826, ,
266,19078, ,
267,18819, ,
268,18289, ,
269,19582, ,
270,19128, ,
271,20413, ,
272,20010, ,
273,18669, ,
274,20538, ,
275,18624, ,
276,18515, ,
277,18865, ,
278,19034, ,
279,19424, ,
280,21176, ,
281,19082, ,
282,21358, ,
283,20313, ,
284,20082, ,
285,21103, ,
286,18420, ,
287,19705, ,
288,19684, ,
289,22746, ,
290,19661, ,
291,19546, ,
292,18643, ,
293,20829, ,
294,19682, ,
295,20176, ,
296,18963, ,
297,19669, ,
298,19409, ,
299,18018, ,
300,19482, ,
301,19041, ,
302,20267, ,
303,19514, ,
304,20735, ,
305,19039, ,
306,19840, ,
307,18800, ,
308,20102, ,
309,20338, ,
310,17066, ,
311,20445, ,
312,19416, ,
313,18817, ,
314,20384, ,
315,21310, ,
316,20393, ,
317,21075, ,
318,19113, ,
319,19532, ,
320,19821, ,
321,21079, ,
322,18678, ,
323,20413, ,
324,20221, ,
325,17917, ,
326,19412, ,
327,18016, ,
328,21827, ,
329,19651, ,
330,19502, ,
331,19453, ,
332,19109, ,
333,20140, ,
334,18375, ,
335,19599, ,
336,18213, ,
337,18175, ,
338,20669, ,
339,17950, ,
340,21210, ,
341,19164, ,
342,18105, ,
343,20437, ,
344,19937, ,
345,22970, ,
346,18832, ,
347,20374, ,
348,19878, ,
349,19029, ,
350,18493, ,
351,19627, ,
352,19872, ,
353,20727, ,
354,20189, ,
355,18748, ,
356,20142, ,
357,19515, ,
358,19526, ,
359,18552, ,
360,19190, ,
361,19178, ,
362,18997, ,
363,19543, ,
364,18558, ,
365,20321, ,
366,20448, ,
367,19315, ,
368,20110, ,
369,18857, ,
370,19584, ,
371,18245, ,
372,19091, ,
373,20358, ,
374,18455, ,
375,18670, ,
376,18961, ,
377,18826, ,
378,20118, ,
379,20040, ,
380,20305, ,
381,19468, ,
382,17405, ,
383,20795, ,
384,20505, ,
385,22160, ,
386,19075, ,
387,20178, ,
388,20170, ,
389,20433, ,
390,20040, ,
391,19941, ,
392,19463, ,
393,19922, ,
394,19086, ,
395,18863, ,
396,18801, ,
397,19228, ,
398,20239, ,
399,19834, ,
400,19395, ,
401,18403, ,
402,22454, ,
403,18567, ,
404,18600, ,
405,17714, ,
406,18726, ,
407,19997, ,
408,20899, ,
409,18799, ,
410,18860, ,
411,20799, ,
412,18088, ,
413,18055, ,
414,20463, ,
415,18785, ,
416,19126, ,
417,18049, ,
418,20203, ,
419,18444, ,
420,19061, ,
421,18441, ,
422,19179, ,
423,19712, ,
424,22219, ,
425,18901, ,
426,17907, ,
427,21554, ,
428,18650, ,
429,19718, ,
430,19061, ,
431,17756, ,
432,19130, ,
433,20220, ,
434,21091, ,
435,19974, ,
436,19541, ,
437,18625, ,
438,20302, ,
439,22167, ,
440,18218, ,
441,17649, ,
442,18981, ,
443,21168, ,
444,18400, ,
445,20833, ,
446,19859, ,
447,19162, ,
448,19978, ,
449,18750, ,
450,21082, ,
451,17974, ,
452,20654, ,
453,17645, ,
454,20221, ,
455,19832, ,
456,19418, ,
457,18739, ,
458,19692, ,
459,19446, ,
460,21985, ,
461,19509, ,
462,18475, ,
463,19096, ,
464,20790, ,
465,20188, ,
466,21090, ,
467,18300, ,
468,18967, ,
469,18943, ,
470,19230, ,
471,19404, ,
472,18803, ,
473,18511, ,
474,18073, ,
475,19323, ,
476,21062, ,
477,20809, ,
478,21797, ,
479,19117, ,
480,19698, ,
481,18440, ,
482,21767, ,
483,18479, ,
484,19922, ,
485,19045, ,
486,19171, ,
487,18539, ,
488,17428, ,
489,21845, ,
490,18836, ,
491,18905, ,
492,20256, ,
493,19175, ,
494,21858, ,
495,20021, ,
496,18502, ,
497,20224, ,
498,21581, ,
499,20169, ,
500,65848, ,
