s, numComparisons, 
0,8703, 
1,8745, 
2,7939, 
3,7971, 
4,7181, 
5,7082, 
6,7089, 
7,7005, 
8,6149, 
9,6169, 
10,6236, 
11,6136, 
12,6237, 
13,6240, 
14,6218, 
15,6050, 
16,5240, 
17,5398, 
18,5441, 
19,5352, 
20,5322, 
21,5213, 
22,5329, 
23,5370, 
24,5427, 
25,5328, 
26,5385, 
27,5368, 
28,5223, 
29,5375, 
30,5383, 
31,4759, 
32,4556, 
33,4712, 
34,4914, 
35,4797, 
36,4731, 
37,4685, 
38,4515, 
39,4545, 
40,4510, 
41,4684, 
42,4721, 
43,4829, 
44,4636, 
45,4774, 
46,4506, 
47,4551, 
48,4729, 
49,4715, 
50,4626, 
51,4645, 
52,4866, 
53,4801, 
54,4784, 
55,4622, 
56,4691, 
57,4605, 
58,4456, 
59,4665, 
60,4625, 
61,4673, 
62,4790, 
63,4714, 
64,4651, 
65,4771, 
66,4517, 
67,4357, 
68,4842, 
69,4410, 
70,4646, 
71,4489, 
72,4581, 
73,4855, 
74,4476, 
75,4783, 
76,4865, 
77,4492, 
78,4331, 
79,4823, 
80,4628, 
81,4971, 
82,4453, 
83,4715, 
84,4795, 
85,4355, 
86,4726, 
87,4860, 
88,4319, 
89,4658, 
90,4721, 
91,4530, 
92,4645, 
93,4741, 
94,4755, 
95,4404, 
96,4532, 
97,4691, 
98,4668, 
99,4577, 
100,4971, 
101,4905, 
102,4170, 
103,4923, 
104,4818, 
105,4772, 
106,4837, 
107,4706, 
108,4626, 
109,4677, 
110,4397, 
111,4747, 
112,4649, 
113,5011, 
114,4712, 
115,4833, 
116,4793, 
117,4660, 
118,4722, 
119,4398, 
120,4678, 
121,4782, 
122,4656, 
123,4612, 
124,4836, 
125,7347, 
126,6997, 
127,7458, 
128,7105, 
129,7473, 
130,6939, 
131,7652, 
132,7038, 
133,6908, 
134,6369, 
135,6999, 
136,7608, 
137,7466, 
138,7650, 
139,6785, 
140,7216, 
141,7081, 
142,7267, 
143,7068, 
144,6907, 
145,6850, 
146,6901, 
147,6929, 
148,6337, 
149,6420, 
150,6804, 
151,6881, 
152,7152, 
153,7373, 
154,7254, 
155,7082, 
156,6447, 
157,7296, 
158,6925, 
159,6860, 
160,6834, 
161,7138, 
162,7120, 
163,6919, 
164,6985, 
165,6283, 
166,6700, 
167,7173, 
168,7705, 
169,6775, 
170,7258, 
171,7008, 
172,6762, 
173,6724, 
174,7019, 
175,6767, 
176,6950, 
177,7083, 
178,6367, 
179,6313, 
180,7017, 
181,7322, 
182,7635, 
