s, numComparisons, ,,,
0,119963, ,,,
1,119962, ,,,
2,113795, ,,,
3,109922, ,,,59016
4,109000, ,,,
5,101485, ,,,
6,101125, ,,,
7,101509, ,,,
8,101495, ,,,
9,99323, ,,,
10,92116, ,,,
11,92052, ,,,
12,92192, ,,,
13,92022, ,,,
14,92181, ,,,
15,91965, ,,,
16,92305, ,,,
17,92010, ,,,
18,91973, ,,,
19,87459, ,,,
20,82514, ,,,
21,82918, ,,,
22,82687, ,,,
23,82540, ,,,
24,82693, ,,,
25,82206, ,,,
26,82723, ,,,
27,82804, ,,,
28,82940, ,,,
29,82792, ,,,
30,82334, ,,,
31,83056, ,,,
32,82430, ,,,
33,82362, ,,,
34,82505, ,,,
35,82807, ,,,
36,82374, ,,,
37,82417, ,,,
38,83064, ,,,
39,73442, ,,,
40,73325, ,,,
41,73154, ,,,
42,73569, ,,,
43,72983, ,,,
44,73232, ,,,
45,73118, ,,,
46,72730, ,,,
47,73141, ,,,
48,73383, ,,,
49,73183, ,,,
50,73177, ,,,
51,73057, ,,,
52,72771, ,,,
53,73074, ,,,
54,73149, ,,,
55,73413, ,,,
56,73958, ,,,
57,73236, ,,,
58,74076, ,,,
59,73669, ,,,
60,73162, ,,,
61,73374, ,,,
62,73644, ,,,
63,72850, ,,,
64,73593, ,,,
65,73772, ,,,
66,73411, ,,,
67,73737, ,,,
68,73701, ,,,
69,73819, ,,,
70,73523, ,,,
71,73155, ,,,
72,73392, ,,,
73,73827, ,,,
74,73918, ,,,
75,73132, ,,,
76,72937, ,,,
77,74528, ,,,
78,65804, ,,,
79,65619, ,,,
80,66209, ,,,
81,64350, ,,,
82,65598, ,,,
83,64845, ,,,
84,64986, ,,,
85,65639, ,,,
86,65711, ,,,
87,65411, ,,,
88,64795, ,,,
89,64728, ,,,
90,65278, ,,,
91,64797, ,,,
92,65246, ,,,
93,65925, ,,,
94,65120, ,,,
95,65892, ,,,
96,65607, ,,,
97,65588, ,,,
98,63777, ,,,
99,65882, ,,,
100,65274, ,,,
101,65538, ,,,
102,64820, ,,,
103,65613, ,,,
104,64679, ,,,
105,65186, ,,,
106,64970, ,,,
107,66152, ,,,
108,64646, ,,,
109,64527, ,,,
110,65489, ,,,
111,64972, ,,,
112,65527, ,,,
113,64286, ,,,
114,64862, ,,,
115,65064, ,,,
116,65676, ,,,
117,65679, ,,,
118,65129, ,,,
119,64758, ,,,
120,65452, ,,,
121,65783, ,,,
122,64519, ,,,
123,64392, ,,,
124,65781, ,,,
125,64676, ,,,
126,65106, ,,,
127,65617, ,,,
128,65733, ,,,
129,65376, ,,,
130,64846, ,,,
131,65115, ,,,
132,65454, ,,,
133,64165, ,,,
134,65777, ,,,
135,65526, ,,,
136,64810, ,,,
137,65635, ,,,
138,66110, ,,,
139,65242, ,,,
140,66464, ,,,
141,65402, ,,,
142,64325, ,,,
143,64710, ,,,
144,64033, ,,,
145,64804, ,,,
146,64994, ,,,
147,65851, ,,,
148,66310, ,,,
149,65122, ,,,
150,64793, ,,,
151,64724, ,,,
152,64564, ,,,
153,65778, ,,,
154,65642, ,,,
155,64804, ,,,
156,64037, ,,,
157,61449, ,,,
158,62527, ,,,
159,62744, ,,,
160,61845, ,,,
161,61699, ,,,
162,61807, ,,,
163,60869, ,,,
164,63566, ,,,
165,60214, ,,,
166,62188, ,,,
167,62902, ,,,
168,61353, ,,,
169,63268, ,,,
170,60837, ,,,
171,62318, ,,,
172,62041, ,,,
173,62032, ,,,
174,60033, ,,,
175,60046, ,,,
176,61374, ,,,
177,62240, ,,,
178,61597, ,,,
179,61692, ,,,
180,60696, ,,,
181,60598, ,,,
182,63197, ,,,
183,62083, ,,,
184,61309, ,,,
185,62077, ,,,
186,59443, ,,,
187,62382, ,,,
188,62389, ,,,
189,61681, ,,,
190,61253, ,,,
191,63252, ,,,
192,62104, ,,,
193,61055, ,,,
194,61167, ,,,
195,61790, ,,,
196,61468, ,,,
197,62138, ,,,
198,60436, ,,,
199,61838, ,,,
200,61706, ,,,
201,61687, ,,,
202,61989, ,,,
203,62929, ,,,
204,60040, ,,,
205,61222, ,,,
206,61928, ,,,
207,61141, ,,,
208,60717, ,,,
209,61678, ,,,
210,61640, ,,,
211,60816, ,,,
212,60881, ,,,
213,60598, ,,,
