s, numComparisons, 
0,718082, 
1,709569, 
2,699463, 
3,698746, 
4,698528, 
5,698622, 
6,698742, 
7,699357, 
8,698990, 
9,699397, 
10,699313, 
11,724162, 
12,732314, 
13,732455, 
14,732838, 
15,732888, 
16,732043, 
17,732092, 
18,733107, 
19,732427, 
20,732383, 
21,732625, 
22,732717, 
23,792708, 
24,837215, 
25,837917, 
26,837451, 
27,839933, 
28,840553, 
29,839683, 
30,839017, 
31,838654, 
32,838280, 
33,839309, 
34,840083, 
35,838229, 
36,839150, 
37,839403, 
38,838826, 
39,838052, 
40,839220, 
41,838258, 
42,838162, 
43,839035, 
44,836985, 
45,840542, 
46,839360, 
47,881434, 
48,1097393, 
49,1095350, 
50,1094954, 
51,1095999, 
52,1098908, 
53,1094212, 
54,1095087, 
55,1096818, 
56,1096892, 
57,1097186, 
58,1096527, 
59,1095302, 
60,1096387, 
61,1094856, 
62,1098345, 
63,1094486, 
64,1093017, 
65,1096541, 
66,1093810, 
67,1092634, 
68,1095701, 
69,1096249, 
70,1094324, 
71,1091678, 
72,1099130, 
73,1096836, 
74,1095572, 
75,1099571, 
76,1095788, 
77,1097559, 
78,1095959, 
79,1093392, 
80,1096767, 
81,1096070, 
82,1098128, 
83,1094157, 
84,1094210, 
85,1096198, 
86,1096737, 
87,1096046, 
88,1096383, 
89,1096044, 
90,1096453, 
91,1096425, 
92,1095946, 
93,1094285, 
94,1096478, 
95,1093622, 
96,1288429, 
97,1652190, 
98,1662096, 
99,1663885, 
100,1665827, 
101,1658927, 
102,1658418, 
103,1657029, 
104,1660974, 
105,1655378, 
106,1655186, 
107,1656143, 
108,1663587, 
109,1659156, 
110,1654096, 
111,1657140, 
112,1659295, 
113,1658820, 
114,1655477, 
115,1654504, 
116,1653898, 
117,1659156, 
118,1658714, 
119,1656160, 
120,1658751, 
121,1657324, 
122,1652435, 
123,1660525, 
124,1659537, 
125,1656786, 
126,1662792, 
127,1648879, 
128,1656725, 
129,1650469, 
130,1659618, 
131,1659184, 
132,1656169, 
133,1655726, 
134,1656950, 
135,1653376, 
136,1654378, 
137,1656722, 
138,1658324, 
139,1652876, 
140,1653293, 
141,1658676, 
142,1653354, 
143,1660162, 
144,1655721, 
145,1656982, 
146,1652090, 
147,1653708, 
148,1655211, 
149,1658109, 
150,1657898, 
151,1657937, 
152,1657618, 
153,1648374, 
154,1659454, 
155,1656086, 
156,1658634, 
157,1657101, 
158,1654024, 
159,1658350, 
160,1656619, 
161,1661850, 
162,1659724, 
163,1660319, 
164,1652322, 
165,1653847, 
166,1658755, 
167,1661351, 
168,1658125, 
169,1653323, 
170,1663712, 
171,1658875, 
172,1655897, 
173,1656644, 
174,1657813, 
175,1664266, 
176,1658903, 
177,1660935, 
178,1657945, 
179,1655905, 
180,1658223, 
181,1653469, 
182,1654340, 
183,1662359, 
184,1662034, 
185,1654624, 
186,1654607, 
187,1659658, 
188,1652548, 
189,1664262, 
190,1662474, 
191,1656122, 
192,1654795, 
193,1655519, 
194,2449562, 
195,2830838, 
196,2814218, 
197,2823553, 
198,2828780, 
199,2835728, 
200,2815644, 
