s, numComparisons, 
0,718200, 
1,709422, 
2,699257, 
3,698939, 
4,698459, 
5,698779, 
6,699081, 
7,699204, 
8,699210, 
9,699353, 
10,699027, 
11,724455, 
12,732199, 
13,731733, 
14,732691, 
15,731906, 
16,732458, 
17,732848, 
18,731726, 
19,732106, 
20,732206, 
21,732482, 
22,732556, 
23,792556, 
24,839175, 
25,841083, 
26,839349, 
27,839501, 
28,836913, 
29,838728, 
30,838162, 
31,838132, 
32,838264, 
33,837794, 
34,838926, 
35,840718, 
36,836830, 
37,838435, 
38,838692, 
39,838598, 
40,839998, 
41,838890, 
42,839979, 
43,838618, 
44,838040, 
45,839399, 
46,838965, 
47,881353, 
48,1092631, 
49,1097079, 
50,1097053, 
51,1093354, 
52,1096581, 
53,1092006, 
54,1093971, 
55,1094725, 
56,1097608, 
57,1094907, 
58,1093093, 
59,1096877, 
60,1096350, 
61,1096001, 
62,1096039, 
63,1093988, 
64,1093568, 
65,1096676, 
66,1093573, 
67,1094466, 
68,1096302, 
69,1095406, 
70,1096075, 
71,1096412, 
72,1096872, 
73,1096275, 
74,1096070, 
75,1094046, 
76,1095132, 
77,1093026, 
78,1097212, 
79,1096861, 
80,1094909, 
81,1095069, 
82,1096899, 
83,1098412, 
84,1097040, 
85,1092768, 
86,1096718, 
87,1093738, 
88,1094547, 
89,1094970, 
90,1097569, 
91,1093396, 
92,1096944, 
93,1097110, 
94,1097617, 
95,1095736, 
96,1285890, 
97,1654576, 
98,1654738, 
99,1648862, 
100,1654115, 
101,1659030, 
102,1663714, 
103,1659270, 
104,1653578, 
105,1653882, 
106,1660540, 
107,1651903, 
108,1658991, 
109,1657562, 
110,1656755, 
111,1662121, 
112,1657750, 
113,1650430, 
114,1659754, 
115,1658524, 
116,1662556, 
117,1658774, 
118,1656820, 
119,1657625, 
120,1657056, 
121,1656325, 
122,1661800, 
123,1660110, 
124,1660298, 
125,1658680, 
126,1650536, 
127,1655734, 
128,1655648, 
129,1659759, 
130,1656079, 
131,1651406, 
132,1651233, 
133,1654453, 
134,1661684, 
135,1656359, 
136,1667391, 
137,1645551, 
138,1656745, 
139,1662094, 
140,1661043, 
141,1647153, 
142,1661448, 
143,1658751, 
144,1665336, 
145,1657158, 
146,1655247, 
147,1658244, 
148,1657997, 
149,1659443, 
150,1655568, 
151,1656845, 
152,1658994, 
153,1651762, 
154,1654636, 
155,1663791, 
156,1657279, 
157,1663331, 
158,1660453, 
159,1654786, 
160,1659075, 
161,1663148, 
162,1657760, 
163,1658512, 
164,1659205, 
165,1653371, 
166,1655154, 
167,1662158, 
168,1654251, 
169,1666480, 
170,1657331, 
171,1657219, 
172,1655118, 
173,1656624, 
174,1656144, 
175,1662109, 
176,1662027, 
177,1662777, 
178,1654778, 
179,1657449, 
180,1659898, 
181,1661062, 
182,1656546, 
183,1664583, 
184,1661190, 
185,1655090, 
186,1654632, 
187,1661520, 
188,1657535, 
189,1657990, 
190,1657014, 
191,1656166, 
192,1660533, 
193,1655811, 
194,2451646, 
195,2823118, 
196,2817479, 
197,2827237, 
198,2836220, 
199,2834906, 
200,2832009, 
