s, numComparisons, ,s,min
0,258975, ,177,151443
1,258878, ,,
2,259071, ,,
3,253558, ,,
4,252118, ,,
5,239096, ,,
6,239367, ,,
7,239221, ,,
8,239150, ,,
9,235696, ,,
10,222526, ,,
11,222527, ,,
12,222596, ,,
13,222510, ,,
14,222616, ,,
15,222429, ,,
16,222494, ,,
17,222209, ,,
18,222660, ,,
19,214161, ,,
20,204292, ,,
21,204208, ,,
22,203951, ,,
23,203907, ,,
24,203749, ,,
25,203823, ,,
26,204393, ,,
27,204553, ,,
28,204222, ,,
29,204252, ,,
30,205243, ,,
31,204330, ,,
32,204147, ,,
33,204064, ,,
34,204147, ,,
35,203612, ,,
36,204017, ,,
37,204293, ,,
38,203913, ,,
39,186165, ,,
40,185383, ,,
41,185558, ,,
42,185805, ,,
43,185497, ,,
44,185730, ,,
45,185149, ,,
46,185679, ,,
47,185811, ,,
48,185415, ,,
49,185264, ,,
50,185648, ,,
51,186487, ,,
52,186042, ,,
53,185537, ,,
54,185728, ,,
55,185533, ,,
56,185675, ,,
57,185850, ,,
58,185579, ,,
59,185869, ,,
60,185244, ,,
61,185175, ,,
62,184874, ,,
63,185592, ,,
64,185697, ,,
65,185236, ,,
66,185229, ,,
67,185368, ,,
68,184970, ,,
69,185334, ,,
70,185905, ,,
71,184740, ,,
72,185116, ,,
73,185584, ,,
74,185031, ,,
75,185536, ,,
76,185591, ,,
77,185279, ,,
78,170401, ,,
79,168469, ,,
80,167746, ,,
81,167897, ,,
82,167774, ,,
83,167764, ,,
84,167909, ,,
85,168024, ,,
86,168640, ,,
87,167681, ,,
88,166704, ,,
89,167506, ,,
90,167488, ,,
91,167083, ,,
92,167919, ,,
93,167335, ,,
94,166763, ,,
95,167731, ,,
96,167319, ,,
97,166882, ,,
98,168342, ,,
99,167654, ,,
100,166982, ,,
101,166906, ,,
102,167035, ,,
103,167642, ,,
104,168408, ,,
105,167606, ,,
106,167752, ,,
107,167657, ,,
108,167737, ,,
109,167907, ,,
110,167930, ,,
111,167695, ,,
112,167567, ,,
113,167181, ,,
114,167618, ,,
115,168358, ,,
116,167591, ,,
117,167703, ,,
118,167321, ,,
119,167621, ,,
120,166938, ,,
121,167660, ,,
122,168237, ,,
123,167281, ,,
124,168159, ,,
125,168884, ,,
126,168002, ,,
127,167534, ,,
128,167543, ,,
129,166824, ,,
130,168227, ,,
131,167176, ,,
132,168745, ,,
133,167435, ,,
134,168594, ,,
135,167095, ,,
136,167638, ,,
137,168000, ,,
138,167707, ,,
139,168156, ,,
140,168438, ,,
141,168217, ,,
142,167434, ,,
143,167018, ,,
144,168398, ,,
145,167117, ,,
146,167096, ,,
147,168266, ,,
148,167111, ,,
149,168264, ,,
150,168156, ,,
151,167047, ,,
152,167041, ,,
153,167252, ,,
154,168519, ,,
155,167632, ,,
156,159594, ,,
157,153867, ,,
158,153838, ,,
159,154016, ,,
160,156464, ,,
161,154095, ,,
162,154037, ,,
163,155102, ,,
164,153973, ,,
165,155776, ,,
166,155248, ,,
167,155038, ,,
168,153907, ,,
169,154931, ,,
170,156730, ,,
171,154517, ,,
172,155610, ,,
173,155778, ,,
174,155097, ,,
175,156186, ,,
176,154773, ,,
177,151443, ,,
178,153461, ,,
179,155308, ,,
180,154901, ,,
181,154535, ,,
182,156227, ,,
183,155905, ,,
184,154871, ,,
185,155298, ,,
186,155759, ,,
187,154466, ,,
188,154947, ,,
189,154632, ,,
190,153904, ,,
191,154466, ,,
192,155415, ,,
193,152342, ,,
194,153505, ,,
195,154274, ,,
196,154692, ,,
197,154734, ,,
198,153350, ,,
199,154879, ,,
200,153286, ,,
201,155675, ,,
202,153807, ,,
203,156120, ,,
204,153180, ,,
205,155904, ,,
206,154567, ,,
207,155470, ,,
208,155443, ,,
209,153674, ,,
210,156307, ,,
211,156017, ,,
212,155195, ,,
213,154697, ,,
214,156747, ,,
215,157525, ,,
216,154004, ,,
217,154446, ,,
218,157077, ,,
219,156584, ,,
220,155355, ,,
221,155283, ,,
222,154514, ,,
223,155537, ,,
224,155164, ,,
225,154050, ,,
226,153964, ,,
227,154859, ,,
228,154916, ,,
229,156848, ,,
230,154638, ,,
231,155163, ,,
232,154277, ,,
233,152959, ,,
234,155132, ,,
235,154815, ,,
236,156280, ,,
237,155268, ,,
238,154781, ,,
239,155056, ,,
240,154905, ,,
241,154955, ,,
242,154839, ,,
243,156351, ,,
244,155788, ,,
245,154482, ,,
246,153656, ,,
247,156140, ,,
248,152793, ,,
249,156282, ,,
250,155360, ,,
251,153736, ,,
252,155235, ,,
253,153222, ,,
254,157144, ,,
255,155799, ,,
256,156707, ,,
257,154156, ,,
258,153230, ,,
259,155765, ,,
260,154158, ,,
261,154492, ,,
262,156620, ,,
263,156189, ,,
264,155104, ,,
265,155421, ,,
266,155495, ,,
267,153327, ,,
268,155605, ,,
269,156154, ,,
270,154107, ,,
271,155673, ,,
272,155797, ,,
273,156097, ,,
274,153698, ,,
275,155102, ,,
276,154812, ,,
277,155483, ,,
278,154604, ,,
279,154117, ,,
280,155312, ,,
281,155407, ,,
282,153500, ,,
283,154980, ,,
284,154629, ,,
285,154581, ,,
286,155403, ,,
287,153465, ,,
288,155067, ,,
289,154683, ,,
290,154271, ,,
291,154440, ,,
292,155301, ,,
293,154389, ,,
294,151992, ,,
295,155535, ,,
296,153771, ,,
297,153742, ,,
298,154897, ,,
299,154496, ,,
300,153468, ,,
301,154104, ,,
302,154182, ,,
303,156508, ,,
304,155282, ,,
305,155207, ,,
306,153524, ,,
307,154752, ,,
308,155837, ,,
309,154542, ,,
310,158047, ,,
311,154025, ,,
312,171334, ,,
313,166283, ,,
314,157071, ,,
315,166233, ,,
316,163729, ,,
317,161074, ,,
318,159826, ,,
319,159275, ,,
320,158994, ,,
321,157691, ,,
322,157811, ,,
323,159597, ,,
324,163390, ,,
325,158916, ,,
326,162780, ,,
327,161961, ,,
328,159277, ,,
329,157601, ,,
330,161622, ,,
331,156454, ,,
332,158962, ,,
333,157567, ,,
334,158536, ,,
335,161852, ,,
336,159684, ,,
337,159426, ,,
338,163604, ,,
339,159577, ,,
340,159585, ,,
341,160321, ,,
342,162992, ,,
343,160106, ,,
344,160298, ,,
345,161437, ,,
346,159498, ,,
347,162906, ,,
348,162291, ,,
349,154164, ,,
350,162020, ,,
351,162449, ,,
352,157848, ,,
353,162732, ,,
354,163595, ,,
355,162662, ,,
356,162165, ,,
357,160520, ,,
358,163309, ,,
359,162172, ,,
360,158790, ,,
361,159373, ,,
362,158423, ,,
363,158113, ,,
364,160861, ,,
365,159985, ,,
366,158312, ,,
367,164510, ,,
368,161524, ,,
369,163798, ,,
370,157938, ,,
371,160143, ,,
372,160075, ,,
