s, numComparisons, ,,
0,707336, ,,
20,560810, ,,
40,512186, ,,
60,462302, ,,
80,463126, ,,
100,419096, ,,
120,416433, ,,
140,417984, ,,
160,419799, ,,
180,418038, ,,
200,378264, ,,
220,374900, ,,
240,379195, ,,
260,377704, ,,
280,377209, ,,
300,378485, ,,
320,379731, ,,
340,380575, ,,
360,375654, ,,
380,382965, ,,
400,365130, ,,
420,367200, ,,
440,366438, ,,
460,359034, ,,
480,371792, ,,
500,367110, ,,
520,368318, ,,
540,365646, ,,
560,364771, ,,
580,371640, ,,
600,375331, ,,
620,371143, ,,
640,376159, ,,
660,365650, ,,
680,368253, ,,
700,367848, ,,
720,364544, ,,
740,369891, ,,
760,368583, ,,
780,369943, ,,
800,468092, ,,
820,461874, ,,
840,465980, ,,
860,445309, ,,
880,453144, ,,
900,457974, ,,
920,474029, ,,
940,458785, ,,
960,453590, ,,
980,462863, ,,
1000,461647, ,,
1020,453243, ,,
1040,465270, ,,
1060,467119, ,,
1080,460350, ,,
1100,459322, ,,
1120,459237, ,,
1140,469418, ,,
1160,446265, ,,
1180,470201, ,,
1200,452238, ,,
1220,456490, ,,
1240,472995, ,,
1260,455732, ,,
1280,453080, ,,
1300,463988, ,,
1320,464288, ,,
1340,457692, ,,
1360,462473, ,,
1380,462410, ,,
1400,472817, ,,359034
1420,461637, ,,
1440,480016, ,,
1460,477534, ,,
1480,455205, ,,
1500,468785, ,,
1520,467408, ,,
1540,458339, ,,
1560,457329, ,,
1580,918541, ,,
1600,951385, ,,
1620,899939, ,,
1640,931216, ,,
1660,919386, ,,
1680,911958, ,,
1700,935965, ,,
1720,888847, ,,
1740,930475, ,,
1760,934762, ,,
1780,941086, ,,
1800,953553, ,,
1820,919443, ,,
1840,924766, ,,
1860,929231, ,,
1880,943294, ,,
1900,944857, ,,
1920,918243, ,,
1940,928661, ,,
1960,899751, ,,
1980,929436, ,,
2000,951283, ,,
